Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
BOSETTI Caterina Chiara,6.0,20.0,19.0,45.0,0.29,21,0.83,ITA
CHIRICHELLA Cristina,3.0,11.0,14.0,28.0,0.14,21,0.53,ITA
DANESI Anna,14.0,17.0,21.0,52.0,0.67,21,1.25,ITA
EGONU Paola Ogechi,8.0,18.0,20.0,46.0,0.38,21,0.94,ITA
FAHR Sarah Luisa,14.0,27.0,22.0,63.0,0.67,21,1.32,ITA
FOLIE Raphaela,3.0,2.0,2.0,7.0,0.14,21,0.2,ITA
MALINOV Ofelia,9.0,8.0,20.0,37.0,0.43,21,0.94,ITA
ORRO Alessia,1.0,6.0,7.0,14.0,0.05,21,0.24,ITA
PIETRINI Elena,2.0,10.0,9.0,21.0,0.1,21,0.36,ITA
SOROKAITE Indre,0.0,0.0,0.0,0.0,0.0,21,0.0,ITA
SYLLA Miryam Fatime,3.0,4.0,3.0,10.0,0.14,21,0.23,ITA
de GENNARO Monica,1.0,0.0,1.0,2.0,0.05,21,0.07,ITA
