Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ENINA Ekaterina,1.0,4.0,3.0,8.0,0.04,23,0.13,ROC
FEDOROVTSEVA Arina,9.0,11.0,18.0,38.0,0.39,23,0.83,ROC
FETISOVA Irina,17.0,30.0,32.0,79.0,0.74,23,1.57,ROC
GONCHAROVA Nataliya,10.0,19.0,22.0,51.0,0.43,23,1.0,ROC
KOROLEVA Irina,20.0,29.0,41.0,90.0,0.87,23,1.89,ROC
LAZAREVA Anna,1.0,1.0,3.0,5.0,0.04,23,0.11,ROC
MATVEEVA Polina,0.0,2.0,1.0,3.0,0.0,23,0.03,ROC
PILIPENKO Daria,0.0,0.0,0.0,0.0,0.0,23,0.0,ROC
PODKOPAEVA Anna,0.0,0.0,0.0,0.0,0.0,23,0.0,ROC
SMIRNOVA Kseniia,1.0,1.0,0.0,2.0,0.04,23,0.05,ROC
STARTSEVA Evgeniya,5.0,18.0,32.0,55.0,0.22,23,0.99,ROC
VORONKOVA Irina,7.0,15.0,17.0,39.0,0.3,23,0.74,ROC
