,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,17,FAYOLA HURTADO Ronald Daniel,3.0,4,1,8,1.0
1, 9,CARRASCO ANGULO Jose Manuel,1.0,1,2,4,0.33
2,19,RIVAS QUIJADA Willner Enrique,1.0,3,, 4,0.33
3, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,1,, 2,0.33
4, 7,VALENCIA GONZALEZ Edson Alberto,, 5,6,11,0.0
5,11,VERDI Jose,, 3,1,4,0.0
6, 1,VELAZQUEZ ESCALANTE Armando Fernan.,, 2,, 2,0.0
7,3,GONZALEZ Fernando,,,, ,
8,4,MATA Hector,,,, ,
9,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,6.0,19,10,35,2.0
