No.,Name,Points,Errors,In-Play,Total Attempts,by Set
19,RIVAS QUIJADA Willner Enrique,1.0,2,5,8,0.33
11,VERDI Jose,,, 16,16,0.0
17,FAYOLA HURTADO Ronald Daniel,, 3,6,9,0.0
 9,CARRASCO ANGULO Jose Manuel,, 1,6,7,0.0
 7,VALENCIA GONZALEZ Edson Alberto,, 2,4,6,0.0
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,, 3,3,6,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,,, 4,4,0.0
15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
3,GONZALEZ Fernando,,,, ,
4,MATA Hector,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
ls,,1.0,11,45,57,0.33
