,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 2,PERRIN John Gordon,1.0,, 16,17,0.25
1, 1,SANDERS Tyler,1.0,, 9,10,0.25
2,13,VERNONEVANS Sharone,,- 4,10,14,0.0
3, 4,HOAG Nicholas,,- 2,8,10,0.0
4,17,VIGRASS Graham,,- 2,7,9,0.0
5,12,van BERKEL Lucas,,- 1,7,8,0.0
6,20,SZWARC Arthur,,- 3,5,8,0.0
7, 7,MAAR Stephen Timothy,,- 2,5,7,0.0
8, 9,BLANKENAU Jay,,-, 6,6,0.0
9,10,SCLATER Ryan Joseph,,- 1,2,3,0.0
10,3,MARSHALL Steven,,-,, ,
11,19,BANN Blair Cameron,,-,, ,
12,ls,,2.0,15,75,92,0.5
