No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 9,DANANI Santiago,11.0,6.0,3.0,20,2.2,2.0,,2.0,4,0.4,,,,,,,,,,,,,,,,,,,,
13,PALACIOS Ezequiel,8.0,7.0,3.0,18,1.6,1.0,,5.0,6,0.2,7.0,,14.0,21,,10.0,6.0,10.0,26,15.38,3.0,3.0,1.0,7,0.6,,4.0,7.0,11,0.0
15,de CECCO Luciano,5.0,1.0,1.0,7,1.0,51.0,,54.0,105,10.2,,,, ,,1.0,,2.0,3,,2.0,1.0,3.0,6,0.4,,3.0,20.0,23,0.0
12,LIMA Bruno,2.0,3.0,1.0,6,0.4,,,1.0,1,0.0,1.0,,, 1,,11.0,7.0,7.0,25,16.0,1.0,2.0,5.0,8,0.2,1.0,5.0,5.0,11,0.2
 7,CONTE Facundo,1.0,4.0,5.0,10,0.2,,,2.0,2,0.0,22.0,2.0,16.0,40,55.0,19.0,6.0,21.0,46,28.26,1.0,4.0,5.0,10,0.2,1.0,5.0,10.0,16,0.2
 8,LOSER Agustin,1.0,2.0,2.0,5,0.2,,,,,,,,,,,,,,,,7.0,7.0,9.0,23,1.4,,2.0,13.0,15,0.0
11,SOLE Sebastian,1.0,4.0,, 5,0.2,,,1.0,1,0.0,2.0,,1.0,3,,9.0,1.0,4.0,14,,3.0,10.0,3.0,16,0.6,,1.0,19.0,20,0.0
 1,SANCHEZ Matias,,,1.0,1,0.0,1.0,,, 1,0.2,,,,,,,,,,,,,,,,,,4.0,4,0.0
 6,POGLAJEN Cristian,,1.0,, 1,0.0,,,,,,,,,,,,,,,,,1.0,, 1,0.0,,1.0,2.0,3,0.0
2,PEREYRA Federico,,,, ,,,,, ,,,,, ,,1.0,,, 1,,,,, ,,,,,,
17,MENDEZ Nicolas,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
18,RAMOS Martin,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
ls,,29.0,28.0,16.0,73,5.8,55.0,,65.0,120,11.0,44.0,4.0,38.0,86,51.16,58.0,20.0,49.0,127,29.92,17.0,28.0,26.0,71,3.4,2.0,22.0,80.0,104,0.4
6,POGLAJEN Cristian,,,,,,,,, ,,,,2.0,2,,,,, ,,,,,,,,,,,
8,LOSER Agustin,,,,,,,,, ,,,,, ,,7.0,,5.0,12,,,,,,,,,,,
9,DANANI Santiago,,,,,,,,,,,12.0,2.0,5.0,19,,,,, ,,,,, ,,,,, ,
1,SANCHEZ Matias,,,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
 2,PEREYRA Federico,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 1,0.0
