Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ANZANI Simone,8.0,33.0,32.0,73.0,0.33,24,1.14,ITA
COLACI Massimo,0.0,1.0,1.0,2.0,0.0,24,0.02,ITA
GALASSI Gianluca,12.0,24.0,25.0,61.0,0.5,24,1.12,ITA
GIANNELLI Simone,3.0,12.0,12.0,27.0,0.12,24,0.42,ITA
JUANTORENA Osmany,8.0,22.0,17.0,47.0,0.33,24,0.78,ITA
KOVAR Jiri,0.0,1.0,1.0,2.0,0.0,24,0.02,ITA
LAVIA Daniele,1.0,1.0,1.0,3.0,0.04,24,0.07,ITA
MICHIELETTO Alessandro,8.0,21.0,12.0,41.0,0.33,24,0.67,ITA
PIANO Matteo,8.0,11.0,9.0,28.0,0.33,24,0.57,ITA
SBERTOLI Riccardo,2.0,3.0,3.0,8.0,0.08,24,0.16,ITA
VETTORI Luca,3.0,8.0,14.0,25.0,0.12,24,0.45,ITA
ZAYTSEV Ivan,5.0,17.0,15.0,37.0,0.21,24,0.59,ITA
