Pts,No.,Name,Pos.,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Points by Set1,Points by Set2,Points by Set3,444,Points by Set4,Points by Set5,Pts
1,1 ,TJ, S,1,1,1,1,1,,,,,,,
10,2 ,PERRIN  ,OH,2,2,2,2,2,4.0,4,3,3,,3.0,17
21,3 ,MARSHALL ,OH,,,,,,,,,,,,
4,4 ,HOAG ,OH,5,5,5,5,5,4.0,4,6,2,,2.0,18
4,7 ,MAAR ,OH,1,2,,,,,2,,,,,2
2,9 ,BLANKENAU, S,13,1,,,,,,,,,,
,10, SCLATER, O,12,13,13,,4,,1,1,,,3.0,5
9,12, VANBERKEL ,MB,3,3,3,3,6,1.0,6,1,2,,,10
,13, VERNON, O,4,4,4,4,1,6.0,3,2,1,,,12
6,17, VIGRASS ,MB,6,6,6,6,,2.0,2,2,,,,6
24,19, BANN, L,L,L,L,L,L,,,,,,,
,20, SZWARC ,MB,,12,17,,3,,3,,,,,3
