No.,Name,Pos.,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Points by Set1,Points by Set2,Points by Set3,Points by Set4,Points by Set5,Pts
1 ,SANCHEZ, S,12,12,,,12,,,,,,
2 ,PEREYRA, O,,12,,,,,,1,,,1
6 ,POGLAJEN ,OH,13,13,13,,,,,,,,
7 ,CONTE ,OH,3,3,4,4,4,9.0,1,4,3,4.0,21
8 ,LOSER ,MB,4,4,5,2,2,4.0,2,3,4,1.0,14
9 ,DANANI, L,L,L,L,L,L,,,,,,
11, SOLE ,MB,1,1,2,5,5,2.0,3,3,2,2.0,12
12, LIMA, O,5,5,6,3,3,3.0,3,2,4,1.0,13
13, PALACIOS ,OH,6,6,1,1,1,2.0,3,3,5,,13
15, de CECCO , S,2,2,3,6,6,2.0,,,,1.0,3
17, MENDEZ ,OH,,,,,,,,,,,
18, RAMOS ,MB,15,15,,,15,,,,,,
