No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 8,SILVA CARNEIRO Macris Fernanda,31,, 43,74,7.75
 9,RATZKE Roberta Silva,17,, 28,45,4.25
16,RODRIGUES Fernanda,3,,, 3,0.75
18,BRAIT Camila,3,,, 3,0.75
15,da SILVA Ana Carolina,1,1.0,, 2,0.25
 2,de OLIVEIRA SAAD GATTAZ Caroline,,, 1,1,0.0
10,BRAGA GUIMARAES Gabriela,,, 1,1,0.0
7,MONTIBELLER Rosamaria,,,, ,
11,CAIXETA Tandara,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,55,1.0,73,129,13.75
