No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,BRAIT Camila,12,6.0,2,20,3.0
16,RODRIGUES Fernanda,10,5.0,1,16,2.5
10,BRAGA GUIMARAES Gabriela,9,4.0,1,14,2.25
15,da SILVA Ana Carolina,6,1.0,1,8,1.5
 7,MONTIBELLER Rosamaria,4,4.0,1,9,1.0
11,CAIXETA Tandara,4,1.0,1,6,1.0
 8,SILVA CARNEIRO Macris Fernanda,3,1.0,2,6,0.75
 2,de OLIVEIRA SAAD GATTAZ Caroline,3,1.0,, 4,0.75
 9,RATZKE Roberta Silva,,2.0,, 2,0.0
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,51,25.0,9,85,12.75
