No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,CASTILLO Brenda,10,1.0,1,12,3.33
20,MARTINEZ Brayelin Elizabeth,3,9.0,5,17,1.0
 7,MARTE FRICA Niverka Dharlenis,2,5.0,1,8,0.67
14,RIVERA BRENS Prisilla,2,1.0,1,4,0.67
18,de la CRUZ de PENA Bethania,1,5.0,3,9,0.33
23,GONZALEZ LOPEZ Gaila Ceneida,1,4.0,1,6,0.33
16,PENA ISABEL Yonkaira Paola,1,2.0,, 3,0.33
21,MARTINEZ Jineiry,,2.0,1,3,0.0
 1,VARGAS VALDEZ Annerys Victoria,,1.0,, 1,0.0
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,,1.0,, 1,0.0
3,EVE MEJIA Lisvel Elisa,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,20,31.0,13,64,6.67
