No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 2,de OLIVEIRA SAAD GATTAZ Caroline,3.0,4,8,15,1.0
15,da SILVA Ana Carolina,2.0,9,3,14,0.67
10,BRAGA GUIMARAES Gabriela,2.0,1,2,5,0.67
11,CAIXETA Tandara,1.0,2,3,6,0.33
 7,MONTIBELLER Rosamaria,1.0,, 2,3,0.33
 8,SILVA CARNEIRO Macris Fernanda,1.0,, 2,3,0.33
16,RODRIGUES Fernanda,, 2,5,7,0.0
9,RATZKE Roberta Silva,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,10.0,18,25,53,3.33
