No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,da SILVA Ana Carolina,1.0,1,16,18,0.33
10,BRAGA GUIMARAES Gabriela,, 1,14,15,0.0
16,RODRIGUES Fernanda,,, 10,10,0.0
 9,RATZKE Roberta Silva,, 2,6,8,0.0
 8,SILVA CARNEIRO Macris Fernanda,,, 7,7,0.0
11,CAIXETA Tandara,,, 6,6,0.0
 2,de OLIVEIRA SAAD GATTAZ Caroline,,, 5,5,0.0
 7,MONTIBELLER Rosamaria,,, 4,4,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,, 1,, 1,0.0
12,PEREIRA Natalia,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,1.0,5,68,74,0.33
