No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 7,MARTE FRICA Niverka Dharlenis,26,1.0,28,55,8.67
 5,CASTILLO Brenda,2,, 4,6,0.67
 1,VARGAS VALDEZ Annerys Victoria,1,,, 1,0.33
23,GONZALEZ LOPEZ Gaila Ceneida,,, 2,2,0.0
16,PENA ISABEL Yonkaira Paola,,, 1,1,0.0
18,de la CRUZ de PENA Bethania,,, 1,1,0.0
3,EVE MEJIA Lisvel Elisa,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
14,RIVERA BRENS Prisilla,,,, ,
20,MARTINEZ Brayelin Elizabeth,,,, ,
21,MARTINEZ Jineiry,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,29,1.0,36,66,9.67
