No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 2,de OLIVEIRA SAAD GATTAZ Caroline,6.0,5,4,15,2.0
15,da SILVA Ana Carolina,6.0,3,5,14,2.0
10,BRAGA GUIMARAES Gabriela,2.0,3,4,9,0.67
 9,RATZKE Roberta Silva,1.0,1,2,4,0.33
12,PEREIRA Natalia,1.0,, 1,2,0.33
16,RODRIGUES Fernanda,, 4,4,8,0.0
11,CAIXETA Tandara,,, 4,4,0.0
 8,SILVA CARNEIRO Macris Fernanda,,, 3,3,0.0
7,MONTIBELLER Rosamaria,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,16.0,16,27,59,5.33
