No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,CASTILLO Brenda,14,12.0,7,33,2.8
16,PENA ISABEL Yonkaira Paola,8,7.0,6,21,1.6
20,MARTINEZ Brayelin Elizabeth,3,11.0,4,18,0.6
 7,MARTE FRICA Niverka Dharlenis,3,7.0,, 10,0.6
 3,EVE MEJIA Lisvel Elisa,2,6.0,2,10,0.4
23,GONZALEZ LOPEZ Gaila Ceneida,2,4.0,1,7,0.4
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,1,1.0,1,3,0.2
25,MARTINEZ CARO Larysmer,1,,, 1,0.2
18,de la CRUZ de PENA Bethania,,2.0,, 2,0.0
21,MARTINEZ Jineiry,,2.0,, 2,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
14,RIVERA BRENS Prisilla,,,, ,
ls,,34,52.0,21,107,6.8
