No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,CASTILLO Brenda,16,4.0,2,22,3.2
20,MARTINEZ Brayelin Elizabeth,13,10.0,5,28,2.6
16,PENA ISABEL Yonkaira Paola,11,5.0,1,17,2.2
21,MARTINEZ Jineiry,4,5.0,, 9,0.8
23,GONZALEZ LOPEZ Gaila Ceneida,4,1.0,, 5,0.8
 7,MARTE FRICA Niverka Dharlenis,3,2.0,1,6,0.6
14,RIVERA BRENS Prisilla,3,, 1,4,0.6
 3,EVE MEJIA Lisvel Elisa,3,1.0,, 4,0.6
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,,2.0,, 2,0.0
25,MARTINEZ CARO Larysmer,,, 1,1,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
18,de la CRUZ de PENA Bethania,,,, ,
ls,,57,30.0,11,98,11.4
