No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
11,CAIXETA Tandara,11,5.0,4,20,2.2
18,BRAIT Camila,11,3.0,5,19,2.2
10,BRAGA GUIMARAES Gabriela,9,8.0,4,21,1.8
16,RODRIGUES Fernanda,7,4.0,4,15,1.4
 9,RATZKE Roberta Silva,3,1.0,, 4,0.6
 8,SILVA CARNEIRO Macris Fernanda,2,6.0,2,10,0.4
 2,de OLIVEIRA SAAD GATTAZ Caroline,2,, 2,4,0.4
15,da SILVA Ana Carolina,1,1.0,2,4,0.2
 7,MONTIBELLER Rosamaria,1,, 1,2,0.2
12,PEREIRA Natalia,,1.0,, 1,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,47,29.0,24,100,9.4
