No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 2,de OLIVEIRA SAAD GATTAZ Caroline,3.0,11,9,23,0.6
16,RODRIGUES Fernanda,2.0,6,8,16,0.4
15,da SILVA Ana Carolina,2.0,4,5,11,0.4
10,BRAGA GUIMARAES Gabriela,1.0,2,5,8,0.2
 7,MONTIBELLER Rosamaria,1.0,1,2,4,0.2
 8,SILVA CARNEIRO Macris Fernanda,, 6,5,11,0.0
11,CAIXETA Tandara,, 2,2,4,0.0
 9,RATZKE Roberta Silva,, 1,, 1,0.0
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,9.0,33,36,78,1.8
