No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 7,MONTIBELLER Rosamaria,6.0,7,4,17,1.5
15,da SILVA Ana Carolina,4.0,8,5,17,1.0
 2,de OLIVEIRA SAAD GATTAZ Caroline,3.0,4,10,17,0.75
16,RODRIGUES Fernanda,2.0,4,5,11,0.5
10,BRAGA GUIMARAES Gabriela,1.0,4,2,7,0.25
 8,SILVA CARNEIRO Macris Fernanda,, 2,5,7,0.0
11,CAIXETA Tandara,, 2,3,5,0.0
 9,RATZKE Roberta Silva,, 1,2,3,0.0
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,16.0,32,36,84,4.0
