No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,BRAIT Camila,13,5.0,2,20,4.33
16,RODRIGUES Fernanda,6,4.0,, 10,2.0
 8,SILVA CARNEIRO Macris Fernanda,5,5.0,3,13,1.67
 7,MONTIBELLER Rosamaria,3,3.0,2,8,1.0
 9,RATZKE Roberta Silva,3,,, 3,1.0
12,PEREIRA Natalia,2,1.0,1,4,0.67
10,BRAGA GUIMARAES Gabriela,2,2.0,, 4,0.67
15,da SILVA Ana Carolina,1,1.0,1,3,0.33
 2,de OLIVEIRA SAAD GATTAZ Caroline,1,,, 1,0.33
20,CORREA Ana Beatriz,1,,, 1,0.33
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
ls,,37,21.0,9,67,12.33
