No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 8,SILVA CARNEIRO Macris Fernanda,52,, 59,111,10.4
 9,RATZKE Roberta Silva,11,, 6,17,2.2
 2,de OLIVEIRA SAAD GATTAZ Caroline,2,, 3,5,0.4
18,BRAIT Camila,1,, 5,6,0.2
10,BRAGA GUIMARAES Gabriela,,, 2,2,0.0
15,da SILVA Ana Carolina,,, 1,1,0.0
16,RODRIGUES Fernanda,,, 1,1,0.0
7,MONTIBELLER Rosamaria,,,, ,
11,CAIXETA Tandara,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,66,,77,143,13.2
